adhoc_ref_1	1/1
adhoc_ref_2	2/REF
adhoc_ref_3	3/REF
adhoc_ref_4	4/REF
adhoc_ref_5	5/REF
adhoc_ref_6	6/REF
adhoc_ref_7	7/REF
adhoc_ref_8	8/REF
adhoc_ref_9	9/REF
adhoc_ref_10	10/REF
adhoc_ref_11	11/REF
adhoc_ref_12	12/REF
adhoc_ref_13	13/REF
adhoc_ref_14	14/REF
adhoc_ref_15	15/REF
adhoc_ref_16	16/REF
adhoc_ref_17	17/REF
adhoc_ref_18	18/REF
adhoc_ref_19	19/REF
adhoc_ref_20	20/REF
adhoc_ref_21	21/REF
adhoc_ref_22	22/REF
adhoc_ref_X	X/REF
adhoc_ref_Y	Y/REF
adhoc_ref_MT	MT/REF
adhoc_ref_GL000207.1	GL000207.1/REF
adhoc_ref_GL000226.1	GL000226.1/REF
adhoc_ref_GL000229.1	GL000229.1/REF
adhoc_ref_GL000231.1	GL000231.1/REF
adhoc_ref_GL000210.1	GL000210.1/REF
adhoc_ref_GL000239.1	GL000239.1/REF
adhoc_ref_GL000235.1	GL000235.1/REF
adhoc_ref_GL000201.1	GL000201.1/REF
adhoc_ref_GL000247.1	GL000247.1/REF
adhoc_ref_GL000245.1	GL000245.1/REF
adhoc_ref_GL000197.1	GL000197.1/REF
adhoc_ref_GL000203.1	GL000203.1/REF
adhoc_ref_GL000246.1	GL000246.1/REF
adhoc_ref_GL000249.1	GL000249.1/REF
adhoc_ref_GL000196.1	GL000196.1/REF
adhoc_ref_GL000248.1	GL000248.1/REF
adhoc_ref_GL000244.1	GL000244.1/REF
adhoc_ref_GL000238.1	GL000238.1/REF
adhoc_ref_GL000202.1	GL000202.1/REF
adhoc_ref_GL000234.1	GL000234.1/REF
adhoc_ref_GL000232.1	GL000232.1/REF
adhoc_ref_GL000206.1	GL000206.1/REF
adhoc_ref_GL000240.1	GL000240.1/REF
adhoc_ref_GL000236.1	GL000236.1/REF
adhoc_ref_GL000241.1	GL000241.1/REF
adhoc_ref_GL000243.1	GL000243.1/REF
adhoc_ref_GL000242.1	GL000242.1/REF
adhoc_ref_GL000230.1	GL000230.1/REF
adhoc_ref_GL000237.1	GL000237.1/REF
adhoc_ref_GL000233.1	GL000233.1/REF
adhoc_ref_GL000204.1	GL000204.1/REF
adhoc_ref_GL000198.1	GL000198.1/REF
adhoc_ref_GL000208.1	GL000208.1/REF
adhoc_ref_GL000191.1	GL000191.1/REF
adhoc_ref_GL000227.1	GL000227.1/REF
adhoc_ref_GL000228.1	GL000228.1/REF
adhoc_ref_GL000214.1	GL000214.1/REF
adhoc_ref_GL000221.1	GL000221.1/REF
adhoc_ref_GL000209.1	GL000209.1/REF
adhoc_ref_GL000218.1	GL000218.1/REF
adhoc_ref_GL000220.1	GL000220.1/REF
adhoc_ref_GL000213.1	GL000213.1/REF
adhoc_ref_GL000211.1	GL000211.1/REF
adhoc_ref_GL000199.1	GL000199.1/REF
adhoc_ref_GL000217.1	GL000217.1/REF
adhoc_ref_GL000216.1	GL000216.1/REF
adhoc_ref_GL000215.1	GL000215.1/REF
adhoc_ref_GL000205.1	GL000205.1/REF
adhoc_ref_GL000219.1	GL000219.1/REF
adhoc_ref_GL000224.1	GL000224.1/REF
adhoc_ref_GL000223.1	GL000223.1/REF
adhoc_ref_GL000195.1	GL000195.1/REF
adhoc_ref_GL000212.1	GL000212.1/REF
adhoc_ref_GL000222.1	GL000222.1/REF
adhoc_ref_GL000200.1	GL000200.1/REF
adhoc_ref_GL000193.1	GL000193.1/REF
adhoc_ref_GL000194.1	GL000194.1/REF
adhoc_ref_GL000225.1	GL000225.1/REF
adhoc_ref_GL000192.1	GL000192.1/REF
adhoc_ref_NC_007605	NC_007605/REF
adhoc_ref_hs37d5	hs37d5/REF
